obs shape -  (4, 84, 84)
global_step=282, episodic_return=[-21.]
global_step=554, episodic_return=[-21.]
global_step=807, episodic_return=[-21.]
global_step=1300, episodic_return=[-20.]
global_step=1576, episodic_return=[-21.]
global_step=1869, episodic_return=[-20.]
global_step=2292, episodic_return=[-21.]
global_step=2576, episodic_return=[-20.]
global_step=2938, episodic_return=[-19.]
global_step=3322, episodic_return=[-21.]
global_step=3574, episodic_return=[-21.]
global_step=3859, episodic_return=[-20.]
global_step=4264, episodic_return=[-21.]
global_step=4512, episodic_return=[-21.]
global_step=4770, episodic_return=[-21.]
global_step=5264, episodic_return=[-21.]
global_step=5549, episodic_return=[-21.]
global_step=5850, episodic_return=[-20.]
global_step=6319, episodic_return=[-19.]
global_step=6567, episodic_return=[-21.]
global_step=6864, episodic_return=[-20.]
global_step=7337, episodic_return=[-21.]
global_step=7623, episodic_return=[-20.]
global_step=7927, episodic_return=[-19.]
global_step=8290, episodic_return=[-21.]
global_step=8624, episodic_return=[-19.]
global_step=8887, episodic_return=[-21.]
global_step=9292, episodic_return=[-20.]
global_step=9570, episodic_return=[-20.]
global_step=9903, episodic_return=[-21.]
global_step=10317, episodic_return=[-20.]
global_step=10595, episodic_return=[-20.]
global_step=10903, episodic_return=[-21.]
global_step=11297, episodic_return=[-20.]
global_step=11662, episodic_return=[-18.]
global_step=11973, episodic_return=[-21.]
global_step=12261, episodic_return=[-21.]
global_step=12531, episodic_return=[-21.]
global_step=12839, episodic_return=[-20.]
global_step=13262, episodic_return=[-21.]
global_step=13565, episodic_return=[-20.]
global_step=13886, episodic_return=[-20.]
global_step=14278, episodic_return=[-21.]
global_step=14555, episodic_return=[-21.]
global_step=14877, episodic_return=[-20.]
global_step=15284, episodic_return=[-21.]
global_step=15593, episodic_return=[-20.]
global_step=15917, episodic_return=[-20.]
global_step=16269, episodic_return=[-21.]
global_step=16580, episodic_return=[-21.]
global_step=16898, episodic_return=[-20.]
global_step=17300, episodic_return=[-21.]
global_step=17617, episodic_return=[-21.]
global_step=17915, episodic_return=[-21.]
global_step=18268, episodic_return=[-21.]
global_step=18641, episodic_return=[-19.]
global_step=18906, episodic_return=[-21.]
global_step=19292, episodic_return=[-21.]
global_step=19564, episodic_return=[-20.]
global_step=19917, episodic_return=[-19.]
global_step=20272, episodic_return=[-21.]
global_step=20579, episodic_return=[-21.]
global_step=20865, episodic_return=[-20.]
global_step=21280, episodic_return=[-21.]
global_step=21557, episodic_return=[-20.]
global_step=21815, episodic_return=[-21.]
global_step=22297, episodic_return=[-20.]
global_step=22606, episodic_return=[-20.]
global_step=22902, episodic_return=[-20.]
global_step=23259, episodic_return=[-21.]
global_step=23562, episodic_return=[-21.]
global_step=23919, episodic_return=[-18.]
global_step=24321, episodic_return=[-20.]
global_step=24605, episodic_return=[-21.]
global_step=25311, episodic_return=[-20.]
global_step=25612, episodic_return=[-19.]
global_step=25867, episodic_return=[-21.]
global_step=26274, episodic_return=[-21.]
global_step=26538, episodic_return=[-21.]
global_step=26831, episodic_return=[-20.]
global_step=27271, episodic_return=[-21.]
global_step=27572, episodic_return=[-20.]
global_step=27861, episodic_return=[-20.]
global_step=28267, episodic_return=[-21.]
global_step=28535, episodic_return=[-21.]
global_step=28784, episodic_return=[-21.]
global_step=29297, episodic_return=[-21.]
global_step=29591, episodic_return=[-20.]
global_step=29856, episodic_return=[-21.]
global_step=30323, episodic_return=[-20.]
global_step=30606, episodic_return=[-20.]
global_step=30868, episodic_return=[-21.]
global_step=31274, episodic_return=[-20.]
global_step=31568, episodic_return=[-21.]
global_step=31818, episodic_return=[-21.]
global_step=32290, episodic_return=[-21.]
global_step=32588, episodic_return=[-21.]
global_step=32852, episodic_return=[-21.]
global_step=33246, episodic_return=[-21.]
global_step=33550, episodic_return=[-19.]
global_step=33846, episodic_return=[-20.]
global_step=34308, episodic_return=[-19.]
global_step=34606, episodic_return=[-20.]
global_step=34929, episodic_return=[-19.]
global_step=35246, episodic_return=[-21.]
global_step=35558, episodic_return=[-21.]
global_step=35839, episodic_return=[-21.]
global_step=36280, episodic_return=[-21.]
global_step=36688, episodic_return=[-20.]
global_step=37294, episodic_return=[-21.]
global_step=37581, episodic_return=[-21.]
global_step=37879, episodic_return=[-21.]
global_step=38261, episodic_return=[-21.]
global_step=38587, episodic_return=[-19.]
global_step=38919, episodic_return=[-19.]
global_step=39252, episodic_return=[-21.]
global_step=39546, episodic_return=[-20.]
global_step=39821, episodic_return=[-21.]
global_step=40339, episodic_return=[-19.]
global_step=40644, episodic_return=[-20.]
global_step=40925, episodic_return=[-20.]
global_step=41314, episodic_return=[-20.]
global_step=41616, episodic_return=[-21.]
global_step=41897, episodic_return=[-21.]
global_step=42253, episodic_return=[-21.]
global_step=42585, episodic_return=[-20.]
global_step=42858, episodic_return=[-21.]
global_step=43269, episodic_return=[-21.]
global_step=43530, episodic_return=[-21.]
global_step=43818, episodic_return=[-21.]
global_step=44300, episodic_return=[-20.]
global_step=44600, episodic_return=[-21.]
global_step=44879, episodic_return=[-21.]
global_step=45347, episodic_return=[-20.]
global_step=45696, episodic_return=[-18.]
global_step=45960, episodic_return=[-21.]
global_step=46329, episodic_return=[-19.]
global_step=46582, episodic_return=[-21.]
global_step=46869, episodic_return=[-21.]
global_step=47347, episodic_return=[-19.]
global_step=47652, episodic_return=[-21.]
global_step=47964, episodic_return=[-21.]
global_step=48396, episodic_return=[-19.]
global_step=48728, episodic_return=[-21.]
global_step=49454, episodic_return=[-20.]
global_step=49734, episodic_return=[-21.]
global_step=50264, episodic_return=[-21.]
global_step=50577, episodic_return=[-21.]
global_step=50857, episodic_return=[-20.]
global_step=51285, episodic_return=[-20.]
global_step=51557, episodic_return=[-20.]
global_step=51911, episodic_return=[-18.]
global_step=52313, episodic_return=[-20.]
global_step=52695, episodic_return=[-19.]
global_step=53298, episodic_return=[-21.]
global_step=53613, episodic_return=[-20.]
global_step=53925, episodic_return=[-20.]
global_step=54257, episodic_return=[-21.]
global_step=54599, episodic_return=[-20.]
